762,947,413,260,1583,97,1526,1393,973,1189,763,32,797,1661,1254,1132,868,328,1363,491,824,731,185,1764,946,33,1262,665,312,1625,1094,1075,707,1507,1271,425,1604,996,18,712,320,781,745,1053,577,134,384,1446,398,1748,136,1222,678,258,1185,1560,291,583,360,603,407,1454,1614,1115,1096,1084,1540,836,215,1494,1548,536,411,428,1525,988,498,109,569,896,1793,642,318,606,900,1439,365,1127,221,661,1666,565,251,1480,1616,1283,699,1291,254,851,
985,2,1323,1396,366,1047,519,865,1092,1089,1697,1731,214,1690,766,1590,190,92,10,788,1758,511,1039,1373,326,457,208,1554,1059,738,650,517,269,1016,1564,16,856,12,1714,75,1743,63,1766,644,1653,91,736,1664,879,630,310,53,138,637,346,390,1159,1341,1064,8,57,1333,1024,1558,256,977,549,890,624,147,953,525,728,806,617,1400,605,1432,229,915,1422,304,1488,68,586,13,1227,127,1077,1235,120,545,394,1371,362,943,396,923,1026,1350,
1448,1754,200,1354,1633,1519,1747,22,1322,609,1384,684,672,597,118,1078,448,542,15,19,840,958,351,1763,1701,1411,73,1611,1427,959,1379,1146,906,768,1104,476,225,1649,1796,909,520,592,963,1607,1412,1727,1622,1367,702,716,1718,1555,211,1682,472,841,1337,1683,793,294,530,289,1375,1162,818,538,546,149,408,381,1452,1111,1097,1369,1712,122,914,941,79,1386,1352,1600,1593,67,93,709,7,1136,370,489,1760,455,898,341,106,144,1374,1792,1443,670,
113,556,1547,128,77,1464,1481,1152,1199,1209,1155,1292,1467,64,1299,882,1606,496,842,1330,1119,303,1474,692,1651,1465,270,456,1514,826,203,1643,839,1603,1259,1002,667,1346,429,333,239,1568,1353,1122,48,99,1570,1218,45,1659,589,316,314,238,453,117,1275,243,1194,1623,1006,1799,50,558,1056,1423,543,1091,1128,444,981,930,1506,741,1181,1745,1756,1634,1761,72,25,1172,1219,1713,978,1532,918,912,1582,1477,167,1140,155,1258,468,212,1702,1129,835,1068,
1787,779,1023,1556,675,1031,46,936,1232,1130,49,899,248,961,616,359,163,35,1228,621,641,262,563,783,1589,1750,1635,1167,972,497,957,36,681,652,541,1118,544,492,1576,903,591,69,874,626,1515,217,450,277,1169,532,567,689,421,1539,1627,854,632,1535,750,451,3,995,639,1579,34,1166,908,1120,410,559,861,772,165,1304,1521,1284,71,409,1705,1546,236,694,377,1063,550,575,1067,1482,1214,1516,515,976,1108,90,1711,201,1431,1421,40,1261,
1083,276,154,311,518,595,1093,1598,478,442,578,129,1144,792,319,1769,9,1376,1416,1246,1628,1401,74,54,180,872,1148,1778,1286,555,683,176,153,1510,87,1455,809,1030,858,292,582,1732,484,1631,47,713,703,264,350,440,932,439,495,820,231,1629,103,622,395,43,677,388,808,467,527,235,1381,487,949,219,1003,1149,1542,1289,673,1728,220,1251,777,1133,194,1722,1247,767,465,1234,993,490,969,618,659,710,42,1707,540,834,1278,1101,1331,369,
1220,1621,749,1449,1762,919,620,1264,1005,847,804,1617,1329,895,268,1085,935,1498,1675,1694,964,1496,1655,1599,380,305,1248,266,1,1601,886,1265,634,26,1438,1508,0,902,602,204,1468,1739,342,1798,216,1691,1135,1648,1545,934,164,1786,317,845,187,581,1073,1215,1036,1703,679,1704,1217,107,1358,1783,159,1317,1780,330,1470,1670,1466,599,1417,916,462,1458,1170,979,730,727,1182,580,566,1008,1797,660,488,570,991,157,375,1191,1027,1131,242,1425,1348,604,
307,1356,1034,315,1536,1260,4,345,24,17,339,1168,1615,1530,331,945,1708,1734,1255,1324,1429,732,1681,887,403,892,748,1100,1721,1404,1263,1098,1216,6,401,1472,111,688,1781,769,1183,812,1206,1768,233,422,178,1577,1441,598,1759,205,143,831,828,897,98,1012,1573,1492,695,1418,372,1749,676,1414,1557,869,523,1230,1656,356,803,794,184,1489,1538,1307,867,514,1717,859,948,771,378,1380,1145,636,1022,928,1057,58,1315,807,1596,81,249,101,295,1040,
418,188,1314,894,1138,115,1794,265,1669,773,499,1459,790,192,1385,786,1733,706,1543,1256,1613,1049,250,179,1151,1784,1647,1305,615,1497,1402,1365,1070,406,1453,810,1716,1460,1372,397,596,1378,1735,648,1561,1042,66,1179,1150,643,357,837,982,474,528,1382,1523,1164,1252,483,1014,367,1541,1010,1553,1565,561,391,1243,240,940,1188,508,1478,1587,801,1033,477,1736,454,1090,1298,855,1050,1147,125,460,1475,1715,1318,888,1662,166,1584,1392,754,1268,1237,944,470,
78,1725,412,920,584,717,832,1499,757,1511,475,1698,1726,1134,1301,966,513,844,1700,917,130,300,500,1156,1720,775,600,625,1074,199,193,228,1442,1037,479,1397,1282,1782,1207,687,1620,419,1274,990,288,1451,1302,1679,373,1035,424,1632,1338,1695,1692,473,942,1531,926,443,1640,349,463,722,656,61,1710,387,746,1177,823,939,907,1685,1581,434,227,531,601,70,1124,461,905,910,1297,1462,950,764,1290,1674,1680,690,799,417,177,142,1636,986,5,1502,
